"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"101955 Bennu (1999 RQ36)","2178-2290","157","5.7e-4","5.99","20.6","0.490","-1.41","-1.59","","a0101955"
"29075 (1950 DA)","2880-2880","1","2.9e-5","14.10","17.9","1.300","-2.05","-2.05","","a0029075"
"(2021 EU)","2024-2093","8","7.7e-5","21.38","25.4","0.028","-2.74","-2.76","0","bK21E00U"
"(2000 SG344)","2069-2122","300","2.7e-3","1.36","24.8","0.037","-2.78","-3.13","0","bK00SY4G"
"(2008 JL3)","2027-2122","44","1.7e-4","8.42","25.3","0.029","-2.98","-2.99","0","bK08J03L"
"(2010 RF12)","2095-2122","70","1.0e-1","5.10","28.4","0.007","-2.98","-2.98","0","bK10R12F"
"(2022 PX1)","2040-2040","1","3.2e-6","35.11","22.3","0.120","-3.15","-3.15","0","bK22P01X"
"(2005 QK76)","2030-2059","6","7.1e-5","19.67","25.2","0.031","-3.31","-3.42","0","bK05Q76K"
"(2021 GX9)","2032-2052","2","8.2e-5","16.79","25.3","0.029","-3.36","-3.36","0","bK21G09X"
"(2022 YO1)","2024-2031","4","2.3e-3","14.42","30.0","0.003","-3.56","-3.56","0","bK22Y01O"
"(2015 JJ)","2111-2111","1","2.1e-5","10.70","22.1","0.130","-3.57","-3.57","0","bK15J00J"
"(2023 DO)","2057-2092","25","4.5e-4","6.97","25.6","0.026","-3.60","-3.61","0","bK23D00O"
"(2019 VB37)","2049-2067","5","5.7e-5","14.55","24.5","0.043","-3.64","-3.65","0","bK19V37B"
"(2008 UB7)","2044-2101","50","3.4e-5","18.53","23.8","0.058","-3.65","-4.27","0","bK08U07B"
"(2007 DX40)","2035-2122","93","7.8e-5","15.52","24.6","0.040","-3.67","-4.05","0","bK07D40X"
"(2016 YM4)","2121-2121","1","1.3e-5","18.98","22.4","0.110","-3.69","-3.69","0","bK16Y04M"
"(2000 SB45)","2067-2118","194","1.6e-4","7.53","24.3","0.046","-3.73","-4.20","0","bK00S45B"
"(2022 UE3)","2093-2101","3","2.0e-4","10.47","24.7","0.040","-3.73","-3.74","0","bK22U03E"
"(2012 QD8)","2047-2120","16","6.1e-6","20.76","23.1","0.081","-3.75","-3.83","0","bK12Q08D"
"(2008 EX5)","2056-2093","28","5.3e-5","9.92","23.8","0.059","-3.79","-4.07","0","bK08E05X"
"(2020 VW)","2074-2094","13","7.0e-3","9.69","28.3","0.007","-3.84","-4.12","0","bK20V00W"
"(2017 WT28)","2083-2121","113","1.2e-2","4.47","28.1","0.008","-3.85","-3.87","0","bK17W28T"
"(2020 VV)","2044-2122","424","2.3e-3","2.58","27.3","0.012","-3.85","-4.34","0","bK20V00V"
"(2012 HG2)","2052-2122","689","2.0e-3","3.32","27.0","0.014","-3.86","-4.29","0","bK12H02G"
"(2013 VW13)","2063-2095","14","4.4e-4","16.35","26.2","0.019","-3.88","-4.05","0","bK13V13W"
